Open Date:;Jun 28 2019
Close Date:;Jul 02 2019
Total Shares:;46,426,229
Face Value:;Rs 10 Per Equity Share
Issue Type:;Book Building
Issue Size:;283.2 Cr
Issue Price:;₹ 59-61 Per Equity Share
Retail Discount:;3
Listing At:;NSE,BSE
Listing Date:;Jul 10 2019
